Jour,Seuil,Nb phrases,Nb Positif,% Positif,Nb Négatif,% Négatif
1,0.9,2186,111,5.077767612076853,185,8.462946020128088
1,0.925,2186,77,3.522415370539799,146,6.678865507776761
1,0.95,2186,42,1.9213174748398902,97,4.437328453796889
1,0.96,2186,29,1.3266239707227814,80,3.659652333028362
1,0.97,2186,19,0.869167429094236,65,2.9734675205855443
1,0.98,2186,9,0.41171088746569073,47,2.150045745654163
1,0.99,2186,1,0.04574565416285453,21,0.9606587374199451
2,0.9,1317,61,4.6317388003037205,108,8.200455580865604
2,0.925,1317,43,3.2649962034927866,83,6.302201974183751
2,0.95,1317,21,1.5945330296127562,51,3.8724373576309796
2,0.96,1317,15,1.1389521640091116,40,3.0372057706909645
2,0.97,1317,9,0.683371298405467,31,2.3538344722854974
2,0.98,1317,4,0.30372057706909644,25,1.8982536066818527
2,0.99,1317,1,0.07593014426727411,21,1.5945330296127562
3,0.9,1986,50,2.5176233635448138,186,9.365558912386707
3,0.925,1986,38,1.9133937562940584,136,6.847935548841893
3,0.95,1986,28,1.4098690835850958,82,4.128902316213495
3,0.96,1986,20,1.0070493454179255,65,3.272910372608258
3,0.97,1986,13,0.6545820745216515,44,2.215508559919436
3,0.98,1986,4,0.2014098690835851,30,1.5105740181268883
3,0.99,1986,2,0.10070493454179255,16,0.8056394763343404
4,0.9,2482,96,3.8678485092667203,180,7.2522159548751
4,0.925,2482,68,2.73972602739726,140,5.640612409347301
4,0.95,2482,44,1.7727639000805802,95,3.8275584206285256
4,0.96,2482,29,1.1684125705076551,81,3.2634971796937955
4,0.97,2482,22,0.8863819500402901,56,2.2562449637389204
4,0.98,2482,14,0.5640612409347301,45,1.813053988718775
4,0.99,2482,3,0.12087026591458501,31,1.2489927477840452
5,0.9,2216,72,3.2490974729241877,188,8.483754512635379
5,0.925,2216,39,1.759927797833935,140,6.317689530685921
5,0.95,2216,21,0.9476534296028881,98,4.422382671480144
5,0.96,2216,16,0.7220216606498195,82,3.700361010830325
5,0.97,2216,5,0.22563176895306858,63,2.8429602888086642
5,0.98,2216,4,0.18050541516245489,45,2.0306859205776173
5,0.99,2216,2,0.09025270758122744,22,0.9927797833935018
6,0.9,2180,41,1.8807339449541285,176,8.073394495412844
6,0.925,2180,28,1.2844036697247707,132,6.055045871559633
6,0.95,2180,16,0.7339449541284404,81,3.7155963302752295
6,0.96,2180,15,0.6880733944954128,68,3.1192660550458715
6,0.97,2180,8,0.3669724770642202,50,2.293577981651376
6,0.98,2180,5,0.22935779816513763,33,1.5137614678899083
6,0.99,2180,2,0.09174311926605505,23,1.055045871559633
7,0.9,1889,41,2.170460561143462,146,7.728957120169402
7,0.925,1889,27,1.4293276866066702,109,5.770248808893594
7,0.95,1889,14,0.741132874536792,66,3.493912122816305
7,0.96,1889,11,0.5823186871360508,56,2.964531498147168
7,0.97,1889,9,0.4764425622022234,44,2.3292747485442034
7,0.98,1889,4,0.21175224986765484,31,1.641079936474325
7,0.99,1889,1,0.05293806246691371,18,0.9528851244044468
8,0.9,1962,64,3.261977573904179,161,8.205912334352702
8,0.925,1962,38,1.9367991845056065,126,6.422018348623853
8,0.95,1962,22,1.1213047910295617,83,4.230377166156982
8,0.96,1962,20,1.019367991845056,68,3.4658511722731906
8,0.97,1962,15,0.764525993883792,48,2.4464831804281344
8,0.98,1962,7,0.3567787971457696,35,1.783893985728848
8,0.99,1962,1,0.0509683995922528,20,1.019367991845056
9,0.9,1542,42,2.7237354085603114,121,7.8469520103761345
9,0.925,1542,31,2.0103761348897535,86,5.577172503242542
9,0.95,1542,19,1.2321660181582361,53,3.437094682230869
9,0.96,1542,18,1.1673151750972763,40,2.594033722438392
9,0.97,1542,12,0.7782101167315175,27,1.7509727626459144
9,0.98,1542,9,0.5836575875486382,17,1.1024643320363166
9,0.99,1542,2,0.1297016861219196,12,0.7782101167315175
10,0.9,1742,52,2.985074626865672,130,7.462686567164179
10,0.925,1742,36,2.0665901262916186,95,5.453501722158439
10,0.95,1742,21,1.2055109070034442,55,3.1572904707233067
10,0.96,1742,13,0.746268656716418,42,2.4110218140068884
10,0.97,1742,7,0.4018369690011481,33,1.894374282433984
10,0.98,1742,2,0.1148105625717566,19,1.0907003444316876
10,0.99,1742,1,0.0574052812858783,11,0.6314580941446614
11,0.9,2546,45,1.767478397486253,215,8.444619010212097
11,0.925,2546,32,1.2568735271013354,162,6.3629222309505105
11,0.95,2546,13,0.5106048703849175,104,4.08483896307934
11,0.96,2546,8,0.31421838177533384,85,3.3385703063629224
11,0.97,2546,4,0.15710919088766692,65,2.5530243519245874
11,0.98,2546,1,0.03927729772191673,53,2.081696779261587
11,0.99,2546,1,0.03927729772191673,21,0.8248232521602514
12,0.9,2594,62,2.3901310717039324,257,9.907478797224364
12,0.925,2594,42,1.6191210485736314,217,8.365458750963763
12,0.95,2594,21,0.8095605242868157,142,5.474171164225135
12,0.96,2594,15,0.5782575173477256,116,4.471858134155744
12,0.97,2594,11,0.42405551272166536,94,3.623747108712413
12,0.98,2594,7,0.26985350809560527,74,2.8527370855821124
12,0.99,2594,2,0.07710100231303008,42,1.6191210485736314
13,0.9,2075,77,3.710843373493976,161,7.759036144578313
13,0.925,2075,51,2.4578313253012047,119,5.734939759036145
13,0.95,2075,28,1.3493975903614457,84,4.048192771084337
13,0.96,2075,19,0.9156626506024096,72,3.4698795180722892
13,0.97,2075,10,0.4819277108433735,56,2.6987951807228914
13,0.98,2075,7,0.3373493975903614,40,1.927710843373494
13,0.99,2075,2,0.0963855421686747,25,1.2048192771084338
14,0.9,1692,72,4.25531914893617,147,8.687943262411348
14,0.925,1692,48,2.8368794326241136,106,6.264775413711584
14,0.95,1692,35,2.0685579196217496,75,4.432624113475177
14,0.96,1692,24,1.4184397163120568,62,3.6643026004728134
14,0.97,1692,16,0.9456264775413712,51,3.0141843971631204
14,0.98,1692,10,0.5910165484633569,40,2.3640661938534278
14,0.99,1692,3,0.1773049645390071,20,1.1820330969267139
15,0.9,1862,31,1.664876476906552,161,8.646616541353383
15,0.925,1862,19,1.0204081632653061,121,6.498388829215897
15,0.95,1862,15,0.8055853920515574,78,4.189044038668099
15,0.96,1862,14,0.7518796992481203,68,3.651987110633727
15,0.97,1862,9,0.4833512352309345,57,3.061224489795918
15,0.98,1862,5,0.26852846401718583,47,2.524167561761547
15,0.99,1862,3,0.1611170784103115,22,1.1815252416756177
16,0.9,2006,44,2.193419740777667,238,11.864406779661017
16,0.925,2006,23,1.1465603190428715,186,9.272183449651047
16,0.95,2006,17,0.847457627118644,123,6.13160518444666
16,0.96,2006,13,0.6480558325024925,91,4.536390827517447
16,0.97,2006,9,0.44865403788634095,62,3.090727816550349
16,0.98,2006,6,0.29910269192422734,37,1.844466600199402
16,0.99,2006,3,0.14955134596211367,22,1.0967098703888336
17,0.9,2694,64,2.3756495916852263,296,10.987379361544173
17,0.925,2694,36,1.3363028953229399,225,8.351893095768375
17,0.95,2694,21,0.779510022271715,162,6.013363028953229
17,0.96,2694,17,0.6310319227913883,133,4.936896807720861
17,0.97,2694,10,0.3711952487008166,106,3.9346696362286564
17,0.98,2694,6,0.22271714922049,81,3.0066815144766146
17,0.99,2694,2,0.07423904974016332,40,1.4847809948032664
18,0.9,3213,56,1.7429193899782136,315,9.803921568627452
18,0.925,3213,34,1.0582010582010581,229,7.12729536258948
18,0.95,3213,20,0.6224712107065048,152,4.730781201369437
18,0.96,3213,18,0.5602240896358543,132,4.1083099906629315
18,0.97,3213,10,0.3112356053532524,99,3.081232492997199
18,0.98,3213,8,0.24898848428260192,67,2.085278555866791
18,0.99,3213,0,0.0,41,1.2760659819483349
19,0.9,1528,30,1.963350785340314,145,9.489528795811518
19,0.925,1528,23,1.5052356020942408,111,7.2643979057591626
19,0.95,1528,18,1.1780104712041886,71,4.646596858638744
19,0.96,1528,13,0.8507853403141361,57,3.730366492146597
19,0.97,1528,7,0.4581151832460733,46,3.0104712041884816
19,0.98,1528,3,0.19633507853403143,35,2.2905759162303663
19,0.99,1528,1,0.06544502617801047,21,1.37434554973822
20,0.9,915,37,4.043715846994536,53,5.7923497267759565
20,0.925,915,25,2.73224043715847,40,4.371584699453552
20,0.95,915,15,1.639344262295082,24,2.622950819672131
20,0.96,915,12,1.3114754098360655,20,2.185792349726776
20,0.97,915,9,0.9836065573770492,14,1.530054644808743
20,0.98,915,4,0.4371584699453552,7,0.7650273224043715
20,0.99,915,1,0.1092896174863388,3,0.32786885245901637
